,datetime,asset,sentiment_positive_total,sentiment_negative_total,dev_activity,dev_activity_change_30d,dev_activity_contributors_count,github_activity_contributors_count,marketcap_usd
130,2021-10-09 00:00:00+00:00,ETH,1195.8759762644768,625.862967312336,28.0,-0.9493670886075949,12.0,74.0,421440173778.0
131,2021-10-10 00:00:00+00:00,ETH,1280.2768803834915,550.0246269106865,67.0,-0.7665505226480837,12.0,69.0,403822590446.0
132,2021-10-11 00:00:00+00:00,ETH,1448.540077149868,675.9026319980621,114.0,0.3571428571428572,41.0,129.0,417956526087.0
133,2021-10-12 00:00:00+00:00,ETH,2184.2631871700287,758.8770455121994,97.0,-0.7364130434782609,33.0,125.0,411781081166.0
134,2021-10-13 00:00:00+00:00,ETH,1539.844796180725,609.7146133780479,110.0,-0.7830374753451677,34.0,103.0,425218703480.0
135,2021-10-14 00:00:00+00:00,ETH,1669.7110396623611,635.4026743173599,116.0,-0.7598343685300207,38.0,102.0,446474897131.0
136,2021-10-15 00:00:00+00:00,ETH,1661.9254167675972,599.1626772880554,129.0,-0.7962085308056872,34.0,95.0,455566504000.0
137,2021-10-16 00:00:00+00:00,ETH,1377.2239682078362,599.5579559206963,24.0,-0.9587628865979382,9.0,76.0,451814143160.0
138,2021-10-17 00:00:00+00:00,ETH,1357.0982420444489,496.73135817050934,229.0,-0.2341137123745819,7.0,82.0,453838694184.0
139,2021-10-18 00:00:00+00:00,ETH,1132.1124017238617,625.4287059903145,59.0,-0.26249999999999996,21.0,72.0,442286890171.0
140,2021-10-19 00:00:00+00:00,ETH,1513.7948591709137,477.34007573127747,98.0,-0.8753180661577609,29.0,92.0,457545764474.0
141,2021-10-20 00:00:00+00:00,ETH,2384.5492150187492,688.6921364068985,63.0,-0.8618421052631579,19.0,77.0,490444280909.0
142,2021-10-21 00:00:00+00:00,ETH,2222.559432923794,621.0461913347244,27.0,-0.916923076923077,17.0,70.0,478500948880.0
143,2021-10-22 00:00:00+00:00,ETH,1691.612178504467,586.8199421167374,4.0,-0.9902676399026764,2.0,13.0,468623912328.0
