id,name,replies_count,created_at,retweets_count,tweet,hashtags,language,cashtags,username,likes_count
1457368147980341251,Algorand,8,2021-11-07 15:23:37 UTC,94,"Great article in @FastCompany on why brands are looking to #NFTs to deepen their engagement with customers! @DeptAgency's new platform helps brands streamline the launch of their own NFT marketplace, highlighted here 👇  https://t.co/dsG3qWlMb9",['nfts'],en,[],algorand,394
1456992440930521088,Algorand,8,2021-11-06 14:30:42 UTC,80,"What’s new on Algorand? #Decipher is coming, @DeptAgency launched the first-ever open source platform for creating an #NFT marketplace on Algorand, @shopping_io announced a major integration &amp; much more.  See the recap 👉  https://t.co/ptMY8CK06h  https://t.co/Gteku5xkkl","['decipher', 'nft']",en,[],algorand,418
1456691008213700610,Algorand,6,2021-11-05 18:32:55 UTC,42,Behind the scenes with @RussFustino &amp; @reachlang at Florida Blockchain Summit today 👇,[],en,[],algorand,203
1456680205217505286,Algorand,1,2021-11-05 17:49:59 UTC,1,@AppBlockchain We're so excited to have you as a sponsor of #Decipher 🙌,['decipher'],en,[],algorand,3
1456642713634283522,Algorand,11,2021-11-05 15:21:00 UTC,93,"Are you attending @sgfintechfest next week? Algorand Founder @silviomicali will be participating in a #DeFi panel discussion alongside @ASvanevik, @loi_luu, @vijay_chetty and @dariussitzl.   Get your digital pass here 👉  https://t.co/nArxfoDNyG #SFF2021  https://t.co/LKj3WQ8A4F","['defi', 'sff2021']",en,[],algorand,381
1456297645975109632,Algorand,4,2021-11-04 16:29:50 UTC,37,"Don't miss hearing from @AMcDougall_SC, President of @stablecorp, at #Decipher this fall! In-person tickets are sold out but there’s still an opportunity to attend virtually. Register for Algorand’s inaugural two-day experience today 👉  https://t.co/tBcaC27jnf  https://t.co/Ds2RrYK1Hs",['decipher'],en,[],algorand,157
1456254768762941440,Algorand,11,2021-11-04 13:39:27 UTC,62,Don't miss @opulousapp &amp; @joinrepublic's first Music #NFT drop 👇,['nft'],en,[],algorand,301
1455966413219250176,Algorand,15,2021-11-03 18:33:38 UTC,184,"#AlgoFam: a new integration with @shopping_io will enable you to use $ALGO to order from major #eCommerce sites like @amazon, @Walmart, @eBay &amp; @Etsy!","['algofam', 'ecommerce']",en,['algo'],algorand,588
1455933698033942532,Algorand,1,2021-11-03 16:23:38 UTC,16,Read the full transcript of Silvio's remarks 👉  https://t.co/4jcLtfvdA5,[],en,[],algorand,76
1455926057807200258,Algorand,13,2021-11-03 15:53:16 UTC,115,Algorand Founder @silviomicali participates in CONSOB’s @g20org event and shares his thoughts on blockchain advancement! Watch the video clips of his remarks:  💬  https://t.co/Za4xl0JHYk  💬  https://t.co/3ntIrjRFu8  #G20RomeSummit #G20Italy #G20  https://t.co/oi4JnCqKg8,"['g20romesummit', 'g20italy', 'g20']",en,[],algorand,461
1455896186007732225,Algorand,3,2021-11-03 13:54:34 UTC,70,"ATTN brands looking to enter the #NFT space: @DeptAgency has made it easier with their new platform AlgoMart! Built on #Algorand, AlgoMart removes the complexity around launching an NFT marketplace by offering modular tools, integrated payments &amp; more 👉  https://t.co/0ryRqDJLsx  https://t.co/GB5H5rd2G5","['nft', 'algorand']",en,[],algorand,305
1455700301889957894,Algorand,12,2021-11-03 00:56:12 UTC,52,Happening LIVE at the NFT 101 Party @NFT_NYC: Stacy Figueroa has minted her first #NFT on the #Algorand blockchain! Check out her artwork of a 1956 Corvette on @AB2_Gallery 👉  https://t.co/sVTNHi7Ipc  https://t.co/dnUUfoyOas,"['nft', 'algorand']",en,[],algorand,265
1455670981364617222,Algorand,7,2021-11-02 22:59:41 UTC,50,Full house tonight at the NFT 101 Party @NFT_NYC 🥳  Interested in minting your own #NFT on Algorand? See  https://t.co/wUQXGSjIKI for more info  https://t.co/ZnxD1zLM0d,['nft'],en,[],algorand,283
1455615385349201922,Algorand,3,2021-11-02 19:18:46 UTC,43,"We are excited to announce @rv_inc as a sponsor of #Decipher! Be sure to catch Musab Alturki, Senior Research Engineer at Runtime Verification, in @thelabmiami for his workshop on best practices for a blockchain audit.  Virtual tickets still available 👉  https://t.co/tBcaC27jnf  https://t.co/qPsHiibBEr",['decipher'],en,[],algorand,207
1455323495211184140,Algorand,4,2021-11-01 23:58:54 UTC,26,@silviomicali @elonmusk @DrEliDavid Indeed!,[],en,[],algorand,279
1455288469165543424,Algorand,11,2021-11-01 21:39:43 UTC,65,"Congratulations to all teams at #SBHACK21 and a BIG shoutout to all the innovative solutions built on #Algorand:  🥇 Team CM2P, SwiFi 🥈 Team algo-bossard 🥉 Team SolarChain, SolarCoin 🏅 Team Ascertify  See the full list of winners 👉  https://t.co/z6Q1ngoboK  https://t.co/rg583x4cMc","['sbhack21', 'algorand']",en,[],algorand,318
1455203442675240961,Algorand,17,2021-11-01 16:01:51 UTC,92,The greenest team in @FIAFormulaE has partnered with the greenest blockchain 🏎️🍃🌱  See more on @Envision_Racing's latest news with @AlgoFoundation 👉  https://t.co/7z4uHMGCRz #greencrypto,['greencrypto'],en,[],algorand,413
1455184005196759046,Algorand,7,2021-11-01 14:44:37 UTC,68,Looking forward to the launch of @exafinance’s peer-to-peer multi-asset exchange on #Algorand! Testnet coming soon 🙌,['algorand'],en,[],algorand,305
1455163863981248514,Algorand,6,2021-11-01 13:24:35 UTC,47,"Join the INNOVATE Global Hackathon! A fully virtual experience, bringing thousands of developers together to explore, learn &amp; build useful applications on #Algorand and compete for $100,000 worth of prizes.   Register now 👉  https://t.co/dK0N34fuR2 @HackerEarth  https://t.co/aXOJsFs6tE",['algorand'],en,[],algorand,171
1454941995579817986,Algorand,4,2021-10-31 22:42:57 UTC,24,Get your questions answered live by Algorand COO @wsford 👇,[],en,[],algorand,203
