,datetime,asset,price_usd,marketcap_usd,circulation
172,2021-11-20 00:00:00+00:00,ETH,4409.930925059553,522236291601.0,118633233.64330307
173,2021-11-21 00:00:00+00:00,ETH,4269.733033786718,505690293990.0,118639847.92494538
174,2021-11-22 00:00:00+00:00,ETH,4088.457816555594,484275218142.0,118643634.78382765
175,2021-11-23 00:00:00+00:00,ETH,4340.763727469722,514217959090.0,118648446.70077598
176,2021-11-24 00:00:00+00:00,ETH,4276.035727758975,506607011836.0,118653793.88804011
177,2021-11-25 00:00:00+00:00,ETH,4519.464023606058,535507272372.0,118659661.98089322
178,2021-11-26 00:00:00+00:00,ETH,4030.909010759338,477672051593.0,118666338.56391495
179,2021-11-27 00:00:00+00:00,ETH,4096.912087999504,485548014481.0,118672576.7369039
180,2021-11-28 00:00:00+00:00,ETH,4294.453696226046,509016708179.0,118678331.70626129
181,2021-11-29 00:00:00+00:00,ETH,4445.105007840686,526931291117.0,118684620.85346682
182,2021-11-30 00:00:00+00:00,ETH,4631.478795336078,549085770691.0,118689002.69831741
183,2021-12-01 00:00:00+00:00,ETH,4586.990131490521,543871223795.0,118693455.73542489
184,2021-09-01 00:00:00+00:00,BNB,490.06871871429513,82398701801.0,165569638.1586238
185,2021-09-02 00:00:00+00:00,BNB,483.9210479340764,81365050658.0,165574802.80472362
186,2021-09-03 00:00:00+00:00,BNB,488.6047142295412,82152548426.0,165581859.80718234
187,2021-09-04 00:00:00+00:00,BNB,498.0784190230475,83745429070.0,165587514.40443605
188,2021-09-05 00:00:00+00:00,BNB,504.61986122764915,84845287774.0,165592254.06630334
189,2021-09-06 00:00:00+00:00,BNB,495.9250300319739,83383364628.0,165598995.28686103
190,2021-09-07 00:00:00+00:00,BNB,417.5087783300819,70198688492.0,165614022.19007465
191,2021-09-08 00:00:00+00:00,BNB,415.1131585527847,69795896084.0,165619099.57307076
192,2021-09-09 00:00:00+00:00,BNB,421.27002921152695,70831094067.0,165626107.10858428
193,2021-09-10 00:00:00+00:00,BNB,401.62180788167217,67527500370.0,165635216.99715436
194,2021-09-11 00:00:00+00:00,BNB,405.5273626010141,68184168765.0,165640551.61073416
195,2021-09-12 00:00:00+00:00,BNB,416.68322094264533,70059881720.0,165644341.04941934
196,2021-09-13 00:00:00+00:00,BNB,399.06343546686753,67097343215.0,165653340.65227693
197,2021-09-14 00:00:00+00:00,BNB,414.2362257408331,69648451200.0,165660781.30146417
198,2021-09-15 00:00:00+00:00,BNB,431.42303931560735,72538191093.0,165666787.37785602
199,2021-09-16 00:00:00+00:00,BNB,424.64923225113347,71399263250.0,165672959.0880415
200,2021-09-17 00:00:00+00:00,BNB,406.6328026247103,68370034174.0,165679642.32634768
201,2021-09-18 00:00:00+00:00,BNB,410.80929974360026,69072258020.0,165688426.87747046
202,2021-09-19 00:00:00+00:00,BNB,408.4716461731495,68679211878.0,165692141.11574298
203,2021-09-20 00:00:00+00:00,BNB,361.96591408520703,60859875927.0,165698076.9467129
204,2021-09-21 00:00:00+00:00,BNB,344.5346108922463,57929028275.0,165705027.94938424
205,2021-09-22 00:00:00+00:00,BNB,379.4403411340047,63797974297.0,165709464.45877805
206,2021-09-23 00:00:00+00:00,BNB,383.10526280422505,64414183364.0,165715233.85919613
207,2021-09-24 00:00:00+00:00,BNB,355.3162699554893,59741824473.0,165720396.6087237
208,2021-09-25 00:00:00+00:00,BNB,349.8800979681134,58827802628.0,165723165.33962926
209,2021-09-26 00:00:00+00:00,BNB,344.181763246263,57869701517.0,165726482.892218
210,2021-09-27 00:00:00+00:00,BNB,336.19123161241833,56526197213.0,165731970.20179197
211,2021-09-28 00:00:00+00:00,BNB,333.0325961743464,55995113612.0,165737176.21974215
212,2021-09-29 00:00:00+00:00,BNB,367.9895848462166,61872678075.0,165749252.79717952
213,2021-09-30 00:00:00+00:00,BNB,387.05735005105885,65078675600.0,165757113.90598312
214,2021-10-01 00:00:00+00:00,BNB,421.6431759496388,70893833854.0,165762543.57069102
215,2021-10-02 00:00:00+00:00,BNB,428.098327796053,71979183952.0,165767373.09161004
216,2021-10-03 00:00:00+00:00,BNB,430.50881092921134,72384475442.0,165771734.4049436
217,2021-10-04 00:00:00+00:00,BNB,425.7488871710701,71584155969.0,165776944.60042983
218,2021-10-05 00:00:00+00:00,BNB,442.7061559079529,74435300873.0,165784860.83567357
219,2021-10-06 00:00:00+00:00,BNB,435.40137179368423,73207096124.0,165792396.5564349
220,2021-10-07 00:00:00+00:00,BNB,438.76175438578656,73772100893.0,165802527.04803014
221,2021-10-08 00:00:00+00:00,BNB,419.10204289020305,70466575273.0,165809488.18363652
222,2021-10-09 00:00:00+00:00,BNB,421.54948058736016,70878080193.0,165817154.6737632
223,2021-10-10 00:00:00+00:00,BNB,405.0692925112273,68107150217.0,165821493.50733197
224,2021-10-11 00:00:00+00:00,BNB,413.4562202260422,69517303385.0,165827920.13151518
225,2021-10-12 00:00:00+00:00,BNB,443.8675081385679,74630567195.0,165834457.4736198
226,2021-10-13 00:00:00+00:00,BNB,470.74968492035094,79150456720.0,165842981.6551372
227,2021-10-14 00:00:00+00:00,BNB,472.02240023478345,79364447301.0,165851848.5918013
228,2021-10-15 00:00:00+00:00,BNB,473.70264082469686,79646957974.0,165859045.53283632
229,2021-10-16 00:00:00+00:00,BNB,465.6424434133181,78291740271.0,165865498.86694908
230,2021-10-17 00:00:00+00:00,BNB,470.6255444837346,79129584115.0,165869924.83659777
231,2021-10-18 00:00:00+00:00,BNB,485.111010580413,80917073472.0,165881572.07215792
232,2021-10-19 00:00:00+00:00,BNB,488.1488670335956,81423791416.0,165887945.46313414
233,2021-10-20 00:00:00+00:00,BNB,501.02033198550083,83570766547.0,165895097.38886377
234,2021-10-21 00:00:00+00:00,BNB,471.2569204848792,78606195340.0,165903192.42687598
235,2021-10-22 00:00:00+00:00,BNB,478.643160011386,79838228572.0,165921918.32819426
236,2021-10-23 00:00:00+00:00,BNB,485.9064423521391,81049752405.0,165927553.2507549
237,2021-10-24 00:00:00+00:00,BNB,476.63312962718004,79502953197.0,165942470.58786166
238,2021-10-25 00:00:00+00:00,BNB,484.645071657942,80839354325.0,165950238.0310988
239,2021-10-26 00:00:00+00:00,BNB,478.02503995194184,79735125437.0,165958427.79573524
240,2021-10-27 00:00:00+00:00,BNB,449.00800682776895,74895051000.0,165967531.9955866
241,2021-10-28 00:00:00+00:00,BNB,492.0155478436143,82068758214.0,165985003.6040942
242,2021-10-29 00:00:00+00:00,BNB,529.6221058212922,88341575257.0,166002277.8696965
243,2021-10-30 00:00:00+00:00,BNB,527.9211739956716,88057857876.0,166020863.78432006
244,2021-10-31 00:00:00+00:00,BNB,524.3644479200985,87464591883.0,166029069.89326185
245,2021-11-01 00:00:00+00:00,BNB,551.2559386132884,91950123403.0,166040689.2214575
246,2021-11-02 00:00:00+00:00,BNB,554.4476200256079,92482499526.0,166056047.7869496
247,2021-11-03 00:00:00+00:00,BNB,568.5787918028806,94839595201.0,166071705.57070905
248,2021-11-04 00:00:00+00:00,BNB,559.7372907397757,93364822674.0,166085030.86377564
249,2021-11-05 00:00:00+00:00,BNB,608.6480484372684,101523193207.0,166125803.7534755
250,2021-11-06 00:00:00+00:00,BNB,636.113950708649,106104537237.0,166144913.91734192
251,2021-11-07 00:00:00+00:00,BNB,650.4540651032734,108496484780.0,166156556.253768
252,2021-11-08 00:00:00+00:00,BNB,654.3150023918265,109140493553.0,166169504.93041903
253,2021-11-09 00:00:00+00:00,BNB,635.1905950786477,105950520458.0,166180467.3450454
254,2021-11-10 00:00:00+00:00,BNB,615.2780616513385,102629087023.0,166192984.0065735
255,2021-11-11 00:00:00+00:00,BNB,629.8923347409111,105066764551.0,166202126.65419847
256,2021-11-12 00:00:00+00:00,BNB,626.6425383192271,104524694777.0,166241147.24737477
257,2021-11-13 00:00:00+00:00,BNB,650.028741068619,108425540243.0,166252780.10124022
258,2021-11-14 00:00:00+00:00,BNB,650.918071100484,108573881514.0,166289407.59757292
259,2021-11-15 00:00:00+00:00,BNB,633.0486671289426,105593244417.0,166311740.29871774
260,2021-11-16 00:00:00+00:00,BNB,589.8228855240071,98383134422.0,166326839.220544
261,2021-11-17 00:00:00+00:00,BNB,578.0927855798399,96426540285.0,166335443.10872725
262,2021-11-18 00:00:00+00:00,BNB,532.2375957990993,88777841988.0,166345583.71976772
263,2021-11-19 00:00:00+00:00,BNB,581.5308443845146,97000012441.0,166351750.33845726
264,2021-11-20 00:00:00+00:00,BNB,603.8400486523493,100721213324.0,166366200.24415085
265,2021-11-21 00:00:00+00:00,BNB,585.2942725024145,97627756571.0,166372579.74632123
266,2021-11-22 00:00:00+00:00,BNB,559.1269877657985,93263023437.0,166380031.56399778
267,2021-11-23 00:00:00+00:00,BNB,591.4395714813489,98652799496.0,166437865.85039383
268,2021-11-24 00:00:00+00:00,BNB,590.8391726927904,98552652289.0,166444557.58249563
269,2021-11-25 00:00:00+00:00,BNB,638.7228467086345,106539704085.0,166453986.87613636
270,2021-11-26 00:00:00+00:00,BNB,585.1473186351341,97603244497.0,166463150.91204536
271,2021-11-27 00:00:00+00:00,BNB,600.3367695500118,100136862348.0,166467797.89491302
272,2021-11-28 00:00:00+00:00,BNB,611.3667979033875,101976683739.0,166477016.07177085
273,2021-11-29 00:00:00+00:00,BNB,624.310049318066,104135632934.0,166484447.56022146
274,2021-11-30 00:00:00+00:00,BNB,622.6698614477,103862047714.0,166494568.44087133
275,2021-12-01 00:00:00+00:00,BNB,627.9715651645764,104746377981.0,166506031.59742114
276,2021-09-01 00:00:00+00:00,USDT,1.00032137373906,65621760343.0,34029534830.366455
277,2021-09-02 00:00:00+00:00,USDT,1.00028092420259,65773150089.0,34029534830.366455
278,2021-09-03 00:00:00+00:00,USDT,1.00021962374137,66504380620.0,34029534830.366455
279,2021-09-04 00:00:00+00:00,USDT,1.00038434797842,66800542675.0,34029534830.366455
280,2021-09-05 00:00:00+00:00,USDT,1.00026127567478,66796325582.0,34029534830.366455
281,2021-09-06 00:00:00+00:00,USDT,0.99987230524724,67476760357.0,34029534830.366455
